"Make Id","Model Id","Submodel Id","Trim Id","Model Year","Make Name","Model Name","Submodel Name","Trim Name","Trim Description","Trim MSRP","Trim Invoice","Trim Created","Trim Modified"
1,7061,72323,6333,2020,Acura,TLX,SH-AWD,"SH-AWD PMC Edition","SH-AWD PMC Edition 4dr Sedan AWD (3.5L 6cyl 9A)",48950,46452,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72323,6332,2020,Acura,TLX,SH-AWD,"SH-AWD A-Spec","SH-AWD A-Spec 4dr Sedan AWD w/Red Leather (3.5L 6cyl 9A)",44800,42521,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72323,6331,2020,Acura,TLX,SH-AWD,"SH-AWD A-Spec","SH-AWD A-Spec 4dr Sedan AWD (3.5L 6cyl 9A)",44800,42521,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72323,6326,2020,Acura,TLX,SH-AWD,SH-AWD,"SH-AWD 4dr Sedan AWD w/Advance Package (3.5L 6cyl 9A)",45950,43610,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72323,6325,2020,Acura,TLX,SH-AWD,SH-AWD,"SH-AWD 4dr Sedan AWD w/Technology Package (3.5L 6cyl 9A)",42100,39963,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72323,6324,2020,Acura,TLX,SH-AWD,SH-AWD,"SH-AWD 4dr Sedan AWD (3.5L 6cyl 9A)",38200,36269,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72322,6330,2020,Acura,TLX,Base,A-Spec,"A-Spec 4dr Sedan w/Red Leather (3.5L 6cyl 9A)",42800,40626,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72322,6329,2020,Acura,TLX,Base,A-Spec,"A-Spec 4dr Sedan (3.5L 6cyl 9A)",42800,40626,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72322,6320,2020,Acura,TLX,Base,Base,"4dr Sedan (2.4L 4cyl 8AM)",33000,31343,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72322,6321,2020,Acura,TLX,Base,Base,"4dr Sedan (3.5L 6cyl 9A)",36200,34374,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72322,6322,2020,Acura,TLX,Base,Base,"4dr Sedan w/Technology Package (2.4L 4cyl 8AM)",36700,34848,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
