"Make Id","Model Id","Submodel Id","Model Year","Make Name","Model Name","Submodel Name","Submodel Created","Submodel Modified"
2,7322,72363,2020,Audi,"A7 Sportback",Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7322,72362,2020,Audi,"A7 Sportback",PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,5773,72365,2020,Audi,"A8 Quattro",L,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,5773,72366,2020,Audi,"A8 Quattro","L Plug-In Hybrid","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7389,72426,2020,Audi,"e-tron Sportback","Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7389,72425,2020,Audi,"e-tron Sportback",PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7063,72399,2020,Audi,Q3,"S-Line Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7063,72398,2020,Audi,Q3,"S-Line Premium","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7063,72397,2020,Audi,Q3,"Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7063,72396,2020,Audi,Q3,Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7063,72400,2020,Audi,Q3,"S-Line Prestige","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6731,72402,2020,Audi,Q5,Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6731,72406,2020,Audi,Q5,"Titanium Prestige","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6731,72405,2020,Audi,Q5,"Titanium Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6731,72404,2020,Audi,Q5,"Titanium Premium","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6731,72403,2020,Audi,Q5,"Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6731,72401,2020,Audi,Q5,PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7388,72409,2020,Audi,"Q5 PHEV","Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7388,72408,2020,Audi,"Q5 PHEV",Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7388,72407,2020,Audi,"Q5 PHEV",PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6557,72367,2020,Audi,Q7,PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6557,72368,2020,Audi,Q7,Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6557,72369,2020,Audi,Q7,"Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7323,72371,2020,Audi,Q8,Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7323,72372,2020,Audi,Q8,"Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7323,72370,2020,Audi,Q8,PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6653,72419,2020,Audi,R8,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6653,72422,2020,Audi,R8,Spyder,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6653,72420,2020,Audi,R8,Performance,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6653,72421,2020,Audi,R8,"Performance Spyder","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7384,72373,2020,Audi,"RS Q8",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7189,72410,2020,Audi,RS3,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7064,72412,2020,Audi,S3,"Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7064,72411,2020,Audi,S3,Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,5448,72374,2020,Audi,S4,PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,5448,72375,2020,Audi,S4,Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,5448,72376,2020,Audi,S4,"Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6652,72413,2020,Audi,S5,PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6652,72415,2020,Audi,S5,"Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6652,72414,2020,Audi,S5,Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7263,72379,2020,Audi,"S5 Sportback","Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7263,72378,2020,Audi,"S5 Sportback",Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7263,72377,2020,Audi,"S5 Sportback",PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,5644,72380,2020,Audi,S6,PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,5644,72381,2020,Audi,S6,"Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
