"Make Id","Model Id","Submodel Id","Trim Id","Mileage Id","Model Year","Make Name","Model Name","Submodel Name","Trim Name","Trim Description","Mileage Fuel Tank Capacity","Mileage Combined Mpg","Mileage Epa City Mpg","Mileage Epa Highway Mpg","Mileage Range City","Mileage Range Highway","Mileage Epa Combined Mpg Electric","Mileage Epa City Mpg Electric","Mileage Epa Highway Mpg Electric","Mileage Range Electric","Mileage Epa Kwh 100 Mi Electric","Mileage Epa Time To Charge Hr 240v Electric","Mileage Battery Capacity Electric","Mileage Created","Mileage Modified"
1,6556,72325,6314,6314,2020,Acura,RDX,SH-AWD,SH-AWD,"SH-AWD 4dr SUV AWD w/Technology Package (2.0L 4cyl Turbo 10A)",17.1,23,21,27,359,462,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6556,72325,6313,6313,2020,Acura,RDX,SH-AWD,SH-AWD,"SH-AWD 4dr SUV AWD (2.0L 4cyl Turbo 10A)",17.1,23,21,27,359,462,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6556,72325,6317,6317,2020,Acura,RDX,SH-AWD,"SH-AWD A-Spec","SH-AWD A-Spec 4dr SUV AWD (2.0L 4cyl Turbo 10A)",17.1,23,21,26,359,445,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6998,72328,6318,6318,2020,Acura,RLX,Base,P-AWS,"P-AWS 4dr Sedan (3.5L 6cyl 10A)",18.5,23,20,29,370,537,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,6998,72329,6319,6319,2020,Acura,RLX,"Sport Hybrid SH-AWD","Sport Hybrid SH-AWD","Sport Hybrid SH-AWD 4dr Sedan AWD (3.5L 6cyl gas/electric hybrid 7AM)",15.1,28,28,29,423,438,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72322,6327,6327,2020,Acura,TLX,Base,A-Spec,"A-Spec 4dr Sedan (2.4L 4cyl 8AM)",17.2,26,23,32,396,550,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72322,6328,6328,2020,Acura,TLX,Base,A-Spec,"A-Spec 4dr Sedan w/Red Leather (2.4L 4cyl 8AM)",17.2,26,23,32,396,550,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72322,6329,6329,2020,Acura,TLX,Base,A-Spec,"A-Spec 4dr Sedan (3.5L 6cyl 9A)",17.2,23,20,30,344,516,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72322,6330,6330,2020,Acura,TLX,Base,A-Spec,"A-Spec 4dr Sedan w/Red Leather (3.5L 6cyl 9A)",17.2,23,20,30,344,516,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72322,6323,6323,2020,Acura,TLX,Base,Base,"4dr Sedan w/Technology Package (3.5L 6cyl 9A)",17.2,24,20,31,344,533,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
